bucket,reason,match_id,id_prefix,player_id,source_name,market_type,selection,line_value,captured_at,duplicate_rows,market_snapshot_ids
quarantine,duplicate_market_snapshot_natural_key,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,tennis-player-alexander-zverev,draftkings,first_service_game_total_points,Alexander Zverev Alexander Zverev,,2026-06-07T07:05:44.067Z,2,"2499a36f4182537987abe9bafa79bd57015e4fee,03c3276f09235698e5af403e9838429b04db0299"
quarantine,duplicate_market_snapshot_natural_key,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,tennis-player-alexander-zverev,draftkings,first_service_game_total_points,Alexander Zverev Flavio Cobolli,,2026-06-07T07:05:44.067Z,2,"3f61ddcc688d9eca230851d02529afb517c77166,a9804124d28bc4efb6f2102a51e182ef35ca7df4"
quarantine,duplicate_market_snapshot_natural_key,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,tennis-player-alexander-zverev,draftkings,first_service_game_total_points,Alexander Zverev No,,2026-06-07T07:05:44.067Z,2,"7f43297d975348eacdd7add9208c460ba95bb2e4,f5b19ac1195bbc14ef36bf5c7f57fa33edb76c9e"
quarantine,duplicate_market_snapshot_natural_key,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,tennis-player-alexander-zverev,draftkings,first_service_game_total_points,Alexander Zverev Yes,,2026-06-07T07:05:44.067Z,2,"26be6099551ed2d4ae219e66346a9a988ae167bb,b143544d212e1b0533b6f67b1970731934a2e2a4"
quarantine,duplicate_market_snapshot_natural_key,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,tennis-player-alexander-zverev,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"33c42120574598c61e29ba3ae8568f45b1fc3eb6,1dee9f56080fbcbd38c49e7d0da967ed8e6c310f"
quarantine,duplicate_market_snapshot_natural_key,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,tennis-player-flavio-cobolli,draftkings,first_service_game_total_points,Flavio Cobolli Alexander Zverev,,2026-06-07T07:05:44.067Z,2,"d10bb3e3fe0e5b78bfbecd0a55dcf747264faadb,a6d457785a75919a75c27fca19ab709c85313f46"
quarantine,duplicate_market_snapshot_natural_key,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,tennis-player-flavio-cobolli,draftkings,first_service_game_total_points,Flavio Cobolli Flavio Cobolli,,2026-06-07T07:05:44.067Z,2,"ba7557d4112d7c09b4ecf1203106b34d3b828e7c,2851080156e32fa730b23a382f2522b8beb2fbd6"
quarantine,duplicate_market_snapshot_natural_key,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,tennis-player-flavio-cobolli,draftkings,first_service_game_total_points,Flavio Cobolli No,,2026-06-07T07:05:44.067Z,2,"ab8a9031c6f65fe5756d099ca257d26901c99e3a,8920fbd6658751bad4a396dcf03c2b8dd17a7f2a"
quarantine,duplicate_market_snapshot_natural_key,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,tennis-player-flavio-cobolli,draftkings,first_service_game_total_points,Flavio Cobolli Yes,,2026-06-07T07:05:44.067Z,2,"f441371c0930de91eeca7d9e4c1a70066a9cb416,fe1555b2699fe634ce83acb76baaee8c8af47667"
quarantine,duplicate_market_snapshot_natural_key,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,tennis-player-flavio-cobolli,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"e3ea8ed008870d7090162a7d5b04e51a42094997,522decb41efa0586678b0aa2a0011cc0b52b8d6a"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-hertogenbosch-ella-seidel-vs-greet-minnen-2026-06-07,dk,tennis-player-ella-seidel,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"45a2225a155173f218556fab106548207291bcdf,f57e1ac95273c2cf09d7acdeba6f8566b486b640"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-hertogenbosch-ella-seidel-vs-greet-minnen-2026-06-07,dk,tennis-player-greet-minnen,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"b02c028885463ac3da11031593efe469c1400865,c2d4be7ff4e2c248e4b6d5b195b769f5a0185875"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-hertogenbosch-hanne-vandewinkel-vs-anouk-koevermans-2026-06-07,dk,tennis-player-anouk-koevermans,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"13289d3d48aba15f70503e0886b93889eef7eaf5,09380d567a6592747c216ae62cd8b84fc18f30e9"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-hertogenbosch-hanne-vandewinkel-vs-anouk-koevermans-2026-06-07,dk,tennis-player-hanne-vandewinkel,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"4c0c3c55321b8a9688cf35ac6434d2a0ef37a05c,7993512d20da2dc57aca7b381abd10159e0b480a"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-hertogenbosch-katie-volynets-vs-lin-zhu-2026-06-07,dk,tennis-player-katie-volynets,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"ef82f67410b977b9de5e0164fa6cbfb3bbae1d9b,3f9a69c0482cc1a4b2b893a6fb1d7362c6971438"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-hertogenbosch-katie-volynets-vs-lin-zhu-2026-06-07,dk,tennis-player-lin-zhu,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"cde45bd07a3a06fdb9b66aef0a84f665aa2a99f5,95deab7449c413d16a92fb109bf32a481ce40434"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-hertogenbosch-robin-montgomery-vs-joanna-garland-2026-06-07,dk,tennis-player-joanna-garland,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"644f5987dfb701c59cf4f24ef611345f0bc49d0d,acf581e22b902271929d6b66b740d936d47132c2"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-hertogenbosch-robin-montgomery-vs-joanna-garland-2026-06-07,dk,tennis-player-robin-montgomery,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"06a36fa3a5c73e2f6692d9ba7fe459c4a20dd74a,9d289be3a321f2ef2820c5601e190a7855d7799f"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-donna-vekic-vs-carole-monnet-2026-06-07,dk,tennis-player-carole-monnet,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"faf101cff844e886bdd486c1dabbb7b310a9de09,138bafb785053ea6144ba186a3809c658f1f0a1d"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-donna-vekic-vs-carole-monnet-2026-06-07,dk,tennis-player-donna-vekic,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"20792cd7deae90fa1a3b2fab0bab5f515227145e,bcee1c8181195d33fa2c560b075cb6ae8535abce"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-ekaterine-gorgodze-vs-kamilla-rakhimova-2026-06-07,dk,tennis-player-ekaterine-gorgodze,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"e1dcbbedfa39de62c567b590e2eed42b2b23679b,a777e0c00355f20a1337dd7106b4ed3d8aafa2ea"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-ekaterine-gorgodze-vs-kamilla-rakhimova-2026-06-07,dk,tennis-player-kamilla-rakhimova,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"2581497e9b44eb66a3dfb12c8404f1c392f4ab7c,594c40d1fd22fed577d3953f04c9a6c832498390"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-elsa-jacquemot-vs-hanyu-guo-2026-06-07,dk,tennis-player-elsa-jacquemot,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"791ae7c5d7350aa1c12f3045a2517e3903894b59,2dd12a8f6774b793b1ce71453670c1f6828fdb05"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-elsa-jacquemot-vs-hanyu-guo-2026-06-07,dk,tennis-player-hanyu-guo,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"feba1d354741cc2ae411f66f7fb2707b12f3c9af,ee8fb9d63a5445d240c51107488aae2e39c5236b"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-jodie-anna-burrage-vs-anna-blinkova-2026-06-07,dk,tennis-player-anna-blinkova,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"9dd04363c8bb9d2f3362f22b2657a78433ca8086,7f3ce8b4f3b0b0161efb07239b1ef336a60b023a"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-jodie-anna-burrage-vs-anna-blinkova-2026-06-07,dk,tennis-player-jodie-anna-burrage,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"a54f96ffcc1008e419ac0e96a1edab461bf79d65,248a7ca9c86fc3a6761e5132f48148b1fcbbf55b"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-maddison-inglis-vs-alycia-parks-2026-06-07,dk,tennis-player-alycia-parks,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"4ec708d37ed3ed8ef2a88d46aa12095ca0a29238,e93b372e419c041ffca2c460b4df8f5185bb6ddc"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-maddison-inglis-vs-alycia-parks-2026-06-07,dk,tennis-player-maddison-inglis,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"15cafa2314a0f647e373b671e1d6420df742453d,d8c55d84e7b7996deac65aad8965a8e38676d495"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-priscilla-hon-vs-polina-kudermetova-2026-06-07,dk,tennis-player-polina-kudermetova,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"e76f5cd291813a4430d13e90d7c0dbc71e013a44,b43955e32a9a75df2502c73177b6ddf5fe158d35"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-priscilla-hon-vs-polina-kudermetova-2026-06-07,dk,tennis-player-priscilla-hon,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"aea1b0495381ffb677a9de31f133e36576bdc8f0,63b146ae09f86a74a6a8abb89c295aefec43e44b"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-talia-gibson-vs-alina-charaeva-2026-06-07,dk,tennis-player-alina-charaeva,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"5a0ac80720e5af39bd3d78b3cef9983b8751391d,98997b64b07d9576c5b0d60821f7186b06e3398b"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-talia-gibson-vs-alina-charaeva-2026-06-07,dk,tennis-player-talia-gibson,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"d7a9ff24fe6ca414f6c47720522965d230b27b50,1a885bec2de0f4764961b0a5929298dcc25b36ab"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-tatjana-maria-vs-yuriko-lily-miyazaki-2026-06-07,dk,tennis-player-tatjana-maria,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"5a23c96dd073ddcb4e9c9393b45ad01529d0f52f,672f1691e2837f646d879ca431a2c7ac02bd49c0"
quarantine,duplicate_market_snapshot_natural_key,dk-wta-wta-quals-london-tatjana-maria-vs-yuriko-lily-miyazaki-2026-06-07,dk,tennis-player-yuriko-lily-miyazaki,draftkings,set_win,Player to Win at Least One Set,,2026-06-07T07:05:44.067Z,2,"d0bc38512b51d53a0408e0dbaefcde9c4c3010dc,b66fe61ed04d7c80dbf39d7360b2902a1d6ca9c6"
quarantine,duplicate_market_snapshot_natural_key,rh-wta-london-boulter-vs-fernandez-2026-06-08,rh,tennis-player-katie-boulter,draftkings,set_win,Player to Win at Least One Set,,2026-06-08T07:31:18.345Z,2,"3d696b2e08d93de014640cbff675b76c7687dcaa,a1d5cb9d512a22211fd0cc35ff02aedc742a22f6"
quarantine,duplicate_market_snapshot_natural_key,rh-wta-london-boulter-vs-fernandez-2026-06-08,rh,tennis-player-leylah-fernandez,draftkings,set_win,Player to Win at Least One Set,,2026-06-08T07:31:18.345Z,2,"f4c97d5caf3875e6aaa0569865b42e7161f0194d,a7971b0b340ac9b0cc14dec0e69024ebd5de1431"
quarantine,duplicate_market_snapshot_natural_key,rh-wta-london-dart-vs-samsonova-2026-06-08,rh,tennis-player-harriet-dart,draftkings,set_win,Player to Win at Least One Set,,2026-06-08T07:31:18.345Z,2,"1846e13a03e43a7c1b038cc34da4658dc360b099,5402d23ab4e443fe689ba915f911868cd5348516"
quarantine,duplicate_market_snapshot_natural_key,rh-wta-london-dart-vs-samsonova-2026-06-08,rh,tennis-player-liudmila-samsonova,draftkings,set_win,Player to Win at Least One Set,,2026-06-08T07:31:18.345Z,2,"e55a147212487af829e5856546e971456213f512,5008dc0bff9e7c2658296c4a1bd37a90a482be96"
quarantine,duplicate_market_snapshot_natural_key,rh-wta-london-pliskova-vs-kessler-2026-06-08,rh,tennis-player-karolina-pliskova,draftkings,set_win,Player to Win at Least One Set,,2026-06-08T07:31:18.345Z,2,"b590b3043f9642985017a7e812fb423c0f613e97,52d495f56dc323e97b06c385f75963d06c892e1a"
quarantine,duplicate_market_snapshot_natural_key,rh-wta-london-pliskova-vs-kessler-2026-06-08,rh,tennis-player-mccartney-kessler,draftkings,set_win,Player to Win at Least One Set,,2026-06-08T07:31:18.345Z,2,"f9380759661ae56c310a6ae36bdfb901abcab5ef,1bad57c38a034bface7706836c06e54a5cd1f1f7"
quarantine,duplicate_market_snapshot_natural_key,rh-wta-london-siegemund-vs-jones-2026-06-08,rh,tennis-player-francesca-jones,draftkings,set_win,Player to Win at Least One Set,,2026-06-08T07:31:18.345Z,2,"ba5f305bfbc4bd1c2150ffd30ab243ee4331b733,a62b8ba157ad972baad202596a218e6f23b6ec07"
quarantine,duplicate_market_snapshot_natural_key,rh-wta-london-siegemund-vs-jones-2026-06-08,rh,tennis-player-laura-siegemund,draftkings,set_win,Player to Win at Least One Set,,2026-06-08T07:31:18.345Z,2,"b2800000e095363cd566d94e841c057818d8a3fb,e2d222326d91ae5ebfd469c910ae2fb4476cd46d"
quarantine,duplicate_market_snapshot_natural_key,rh-wta-london-zheng-vs-cristian-2026-06-08,rh,tennis-player-jaqueline-cristian,draftkings,set_win,Player to Win at Least One Set,,2026-06-08T07:31:18.345Z,2,"169e9ca228defdd6d7b2b13dc9349e0deb8d61fb,90b0dffe172b578286e2311d8cedfc10b2ac74f4"
quarantine,duplicate_market_snapshot_natural_key,rh-wta-london-zheng-vs-cristian-2026-06-08,rh,tennis-player-qinwen-zheng,draftkings,set_win,Player to Win at Least One Set,,2026-06-08T07:31:18.345Z,2,"e031a17acce0443508f9335b40cadca58ff71fcd,de8880c3ab8b12f81c6b26b1193939e484e4945d"
quarantine,duplicate_market_snapshot_natural_key,rh-wta-s-hertogenbosch-alexandrova-vs-udvardy-2026-06-08,rh,tennis-player-ekaterina-alexandrova,draftkings,set_win,Player to Win at Least One Set,,2026-06-08T07:31:18.345Z,2,"d6b1d95e1679ae7d1001b9d046d414ee2dfa5c9d,178d1579b428fd3ab4c5f745ac8f7845711d6597"
quarantine,duplicate_market_snapshot_natural_key,rh-wta-s-hertogenbosch-alexandrova-vs-udvardy-2026-06-08,rh,tennis-player-panna-udvardy,draftkings,set_win,Player to Win at Least One Set,,2026-06-08T07:31:18.345Z,2,"d4459f5cad5a7d06aae4b024f29d4e500ea2c8c5,258fda3b7088bd937844e2aba6a533a02975a0eb"
