bucket,reason,match_id,id_prefix,match_date,start_time_utc,status,tour,surface,source_event_id,participant_rows,distinct_players
quarantine,match_not_attached_to_active_tennislive_source,dk-atp-challenger-quals-cattolica-petr-nesterov-vs-gianmarco-ferrari-2026-06-08,dk,2026-06-08,2026-06-08T08:30:00.0000000Z,scheduled,ATP,Clay,34253784,2,2
quarantine,match_not_attached_to_active_tennislive_source,dk-atp-challenger-quals-ilkley-dan-evans-vs-charles-broom-2026-06-08,dk,2026-06-08,2026-06-08T09:55:00.0000000Z,scheduled,ATP,Grass,34254700,2,2
quarantine,match_not_attached_to_active_tennislive_source,dk-atp-challenger-san-miguel-de-tucuman-karim-bennani-vs-santiago-rodriguez-taverna-2026-06-08,dk,2026-06-08,2026-06-08T22:00:00.0000000Z,scheduled,ATP,Clay,34253754,2,2
quarantine,match_not_attached_to_active_tennislive_source,rh-atp-challenger-bratislava-qualification-neumayer-vs-daniel-2026-06-08,rh,2026-06-08,2026-06-08T09:40:00Z,scheduled,ATP,Clay,fc6671da-1001-4943-a866-0baa71d8c2e8,2,2
quarantine,match_not_attached_to_active_tennislive_source,rh-atp-challenger-bratislava-qualification-santillan-vs-shelbayh-2026-06-08,rh,2026-06-08,2026-06-08T10:50:00Z,scheduled,ATP,Clay,f7bd790f-6e93-4322-a027-c83720e83176,2,2
quarantine,match_not_attached_to_active_tennislive_source,rh-atp-challenger-bratislava-sachko-vs-watanuki-2026-06-08,rh,2026-06-08,2026-06-08T10:00:00Z,scheduled,ATP,Clay,9c12d714-1824-4ed9-943a-38fa180bb7b3,2,2
quarantine,match_not_attached_to_active_tennislive_source,rh-atp-challenger-cattolica-qualification-nesterov-vs-ferrari-2026-06-08,rh,2026-06-08,2026-06-08T08:30:00Z,scheduled,ATP,Clay,b8801f96-4cbf-4ba4-834c-7cfe4c732017,2,2
quarantine,match_not_attached_to_active_tennislive_source,rh-atp-challenger-ilkley-schoolkate-vs-harris-2026-06-08,rh,2026-06-08,2026-06-08T12:30:00Z,scheduled,ATP,Grass,ed5a2063-3097-438a-b35f-35a7eceba8c4,2,2
quarantine,match_not_attached_to_active_tennislive_source,rh-atp-challenger-lyon-pavlovic-vs-galan-2026-06-08,rh,2026-06-08,2026-06-08T10:20:00Z,scheduled,ATP,Clay,2e409906-65ac-4d99-8899-08db4b52a97a,2,2
quarantine,match_not_attached_to_active_tennislive_source,rh-atp-challenger-san-miguel-de-tucuman-qualification-del-pino-vs-huertas-del-pino-cordova-2026-06-08,rh,2026-06-08,2026-06-08T13:00:00Z,scheduled,ATP,Clay,ecf7f15b-d9ae-4aa3-a583-90d32314095c,2,2
