date,gamePk,title,total_full,total_f5,full_line,f5_line,full_over,f5_over,full_side_known,f5_side_known,f5_story,posted_total,projected_full_total,projected_f5_total,derived_f5_line,away_projected_runs,home_projected_runs,away_f5_projected_runs,home_f5_projected_runs,away_projected_hits,home_projected_hits,away_f5_projected_hits,home_f5_projected_hits,away_hit_eff,home_hit_eff,away_f5_hit_eff,home_f5_hit_eff,chaos_maxMistakeChaos,chaos_maxRunClustering,chaos_maxEarlyMultiRunAllowed,chaos_maxOneBadInningAllowed,chaos_maxQuietFirst5,chaos_maxDeadBatTraffic,chaos_minLineupConversion,chaos_weatherCarry,chaos_weatherSuppress,tail_shape,category,full_total_lean,f5_total_lean,weather_carry_flag,weather_suppress_flag,away_starter_era,away_starter_whip,away_starter_inningsPitched,away_starter_walks,away_starter_homeRunsAllowed,away_starter_usage_expectedInnings,away_starter_usage_shortLeashRisk,away_mistake_mistakeChaosIndex,away_mistake_runClusteringIndex,away_mistake_oneBadInningAllowedRate,away_mistake_earlyMultiRunAllowedRate,away_lineup_lineupConversionIndex,away_lineup_baserunnersPerGame,away_lineup_runsPerBaserunner,away_lineup_quietFirst5Rate,away_lineup_trafficNoConversionRate,away_bullpen_bullpenChaosIndex,away_bullpen_bullpenMeltdownGameRate,away_bullpen_firstBatterReachRate,away_bullpen_homeRunAppearanceRate,home_starter_era,home_starter_whip,home_starter_inningsPitched,home_starter_walks,home_starter_homeRunsAllowed,home_starter_usage_expectedInnings,home_starter_usage_shortLeashRisk,home_mistake_mistakeChaosIndex,home_mistake_runClusteringIndex,home_mistake_oneBadInningAllowedRate,home_mistake_earlyMultiRunAllowedRate,home_lineup_lineupConversionIndex,home_lineup_baserunnersPerGame,home_lineup_runsPerBaserunner,home_lineup_quietFirst5Rate,home_lineup_trafficNoConversionRate,home_bullpen_bullpenChaosIndex,home_bullpen_bullpenMeltdownGameRate,home_bullpen_firstBatterReachRate,home_bullpen_homeRunAppearanceRate,park_runs,park_hr
2026-05-23,824674,Astros @ Cubs,3.0,3.0,7.5,4.1,0,0,1,1,dead,7.5,7.3,4.0,4.1,5.0,2.3,2.9,1.1,9.6,5.4,5.8,2.8,27.7,15.7,30.1,15.1,63.8,75.3,0.38,0.5,0.5,0.38,8.5,0.0,1.0,none,none,Pass,Pass,1.0,1.0,2.19,1.05,37.0,15.0,3.0,3.67,0.67,53.24,61.49,0.5,0.13,16.84,8.88,0.27,0.5,0.0,39.65,0.31,0.23,0.09,4.83,1.37,54.0,17.0,8.0,4.95,0.43,63.82,75.27,0.5,0.38,8.49,12.25,0.31,0.25,0.0,41.58,0.17,0.21,0.18,100.0,100.0
2026-05-23,823300,Athletics @ Padres,2.0,2.0,8.0,4.6,0,0,1,1,dead,8.0,5.6,3.2,4.6,3.2,2.4,1.9,1.3,6.6,5.8,4.1,3.4,19.0,17.1,21.6,18.0,62.6,82.0,0.5,0.5,0.5,0.25,43.6,0.0,0.0,none,none,Under,Under,0.0,0.0,3.02,1.12,53.2,22.0,6.0,5.54,0.13,62.56,81.95,0.5,0.5,43.61,13.38,0.35,0.38,0.0,37.35,0.23,0.3,0.05,3.38,1.0,8.0,5.0,0.0,5.0,0.0,59.45,70.0,0.25,0.5,45.59,10.0,0.38,0.5,0.13,41.32,0.08,0.29,0.07,94.0,108.0
2026-05-23,824516,Cardinals @ Reds,13.0,6.0,9.5,5.5,1,1,1,1,crooked,9.5,12.0,7.0,5.5,5.9,6.1,3.3,3.7,10.9,11.8,6.4,7.2,31.5,34.2,33.3,37.9,63.5,74.1,0.5,0.5,0.5,0.5,6.5,0.0,0.0,none,none,Over,Over,0.0,0.0,4.44,1.58,50.2,22.0,8.0,5.07,0.11,56.81,54.07,0.5,0.0,6.5,12.25,0.28,0.5,0.13,54.7,0.36,0.46,0.17,5.91,1.22,10.2,3.0,2.0,5.67,0.0,63.52,74.11,0.38,0.5,78.2,13.63,0.49,0.25,0.13,58.97,0.55,0.3,0.25,106.0,122.0
2026-05-23,824518,Cardinals @ Reds,9.0,4.0,9.5,5.5,0,0,1,1,normal,9.5,12.5,7.3,5.5,6.6,5.9,4.1,3.2,11.6,11.6,7.2,6.5,33.3,33.7,37.5,34.2,63.5,74.1,0.5,0.5,0.5,0.5,6.5,0.0,0.0,none,none,Over,Over,0.0,0.0,3.76,1.25,55.0,20.0,7.0,4.9,0.1,56.81,54.07,0.5,0.0,6.5,12.25,0.28,0.5,0.13,54.7,0.36,0.46,0.17,6.86,1.67,40.2,14.0,6.0,4.43,0.71,63.52,74.11,0.38,0.5,78.2,13.63,0.49,0.25,0.13,58.97,0.55,0.3,0.25,106.0,122.0
2026-05-23,823787,Dodgers @ Brewers,14.0,7.0,8.0,4.7,1,1,1,1,crooked,8.0,9.3,5.5,4.7,4.7,4.6,2.7,2.8,10.4,9.7,6.1,6.0,30.2,28.3,32.1,31.7,46.4,74.5,0.25,0.13,0.38,0.25,45.5,0.0,0.0,none,none,Over,Over,0.0,0.0,4.93,1.42,45.2,18.0,9.0,5.08,0.38,46.37,74.5,0.13,0.25,45.45,13.25,0.43,0.38,0.0,44.73,0.23,0.29,0.0,6.48,1.56,8.1,6.0,1.0,4.0,1.0,39.61,61.95,0.13,0.13,48.84,13.38,0.37,0.38,0.13,37.99,0.08,0.25,0.06,94.0,106.0
2026-05-23,823458,Guardians @ Phillies,3.0,2.0,7.5,4.4,0,0,1,1,dead,7.5,6.5,3.8,4.4,2.3,4.2,1.2,2.6,5.5,9.7,3.0,5.9,15.9,28.3,15.7,31.1,54.5,74.0,0.38,0.25,0.5,0.13,49.1,0.0,1.0,none,none,Under,Under,1.0,1.0,5.18,1.48,57.1,20.0,9.0,5.23,0.3,47.96,65.25,0.25,0.25,54.12,12.88,0.41,0.5,0.0,36.05,0.08,0.36,0.07,1.67,0.82,37.2,8.0,1.0,6.33,0.0,54.48,73.96,0.25,0.38,49.07,11.13,0.4,0.5,0.13,42.97,0.08,0.26,0.15,104.0,114.0
2026-05-23,824109,Mariners @ Royals,5.0,4.0,8.5,5.0,0,0,1,1,normal,8.5,6.8,4.0,5.0,4.1,2.7,2.3,1.7,8.5,5.5,4.9,3.8,24.5,16.1,25.8,19.8,53.4,71.3,0.38,0.25,0.63,0.63,0.0,0.0,0.0,none,none,Under,Under,0.0,0.0,3.54,1.21,68.2,16.0,6.0,6.27,0.0,47.79,71.32,0.25,0.0,19.36,11.0,0.33,0.63,0.0,46.77,0.15,0.42,0.1,2.77,0.85,26.0,5.0,3.0,5.67,0.33,53.36,52.33,0.13,0.38,0.0,10.13,0.19,0.5,0.13,52.06,0.25,0.53,0.16,100.0,83.0
2026-05-23,823862,Mets @ Marlins,5.0,4.0,8.5,4.9,0,0,1,1,normal,8.5,4.9,2.8,4.9,2.4,2.5,1.2,1.6,5.6,5.6,2.9,3.9,16.2,16.3,15.0,20.7,67.2,82.6,0.5,0.5,0.38,0.25,52.9,0.0,0.0,none,none,Under,Under,0.0,0.0,3.52,1.27,61.1,27.0,8.0,5.43,0.1,64.98,82.6,0.5,0.5,63.71,11.75,0.47,0.38,0.0,45.94,0.31,0.22,0.08,2.52,1.05,60.2,22.0,4.0,5.37,0.1,67.21,79.66,0.5,0.5,52.92,11.63,0.4,0.25,0.13,48.47,0.46,0.15,0.08,100.0,87.0
2026-05-23,824920,Nationals @ Braves,2.0,2.0,8.5,5.0,0,0,1,1,dead,8.5,9.1,5.4,5.0,4.0,5.1,2.5,2.9,7.5,11.7,5.0,6.7,21.7,34.1,26.2,35.4,63.0,72.2,0.5,0.38,0.38,0.13,58.9,0.0,1.0,none,none,Over,Pass,1.0,1.0,5.23,1.35,51.2,22.0,7.0,4.67,0.3,63.02,72.18,0.38,0.5,58.9,13.63,0.44,0.38,0.13,61.66,0.46,0.37,0.19,3.78,1.3,52.1,24.0,9.0,5.26,0.33,46.25,59.62,0.25,0.13,61.88,12.25,0.45,0.38,0.0,39.38,0.08,0.2,0.15,100.0,95.0
2026-05-23,822814,Pirates @ Blue Jays,7.0,1.0,7.5,4.3,0,0,1,1,dead,7.5,7.0,4.0,4.3,4.6,2.4,2.8,1.2,9.8,5.6,6.0,3.1,28.2,16.3,31.2,16.1,65.9,67.0,0.38,0.63,0.5,0.25,33.6,0.0,0.0,none,none,Pass,Pass,0.0,0.0,3.0,0.82,60.0,9.0,6.0,5.5,0.2,65.92,67.01,0.63,0.38,48.89,12.63,0.37,0.38,0.0,58.39,0.5,0.36,0.14,3.86,1.4,44.1,13.0,4.0,4.79,0.5,46.68,66.07,0.25,0.0,33.58,10.13,0.35,0.5,0.0,48.94,0.23,0.27,0.08,102.0,110.0
2026-05-23,824030,Rangers @ Angels,7.0,4.0,8.5,4.7,0,0,1,1,normal,8.5,7.2,4.0,4.7,4.8,2.4,2.6,1.4,10.0,5.8,5.7,3.4,28.9,16.9,29.8,17.9,74.5,78.0,0.38,0.63,0.38,0.13,42.0,1.0,0.0,none,none,Pass,Pass,1.0,0.0,3.81,1.16,56.2,14.0,11.0,6.07,0.0,57.69,72.84,0.25,0.38,43.09,13.5,0.39,0.38,0.0,49.44,0.25,0.25,0.06,2.8,1.36,35.1,21.0,2.0,5.28,0.17,74.53,77.99,0.63,0.38,41.95,10.0,0.34,0.38,0.0,58.75,0.54,0.4,0.14,100.0,100.0
2026-05-23,825080,Rockies @ Diamondbacks,9.0,7.0,9.0,5.4,0,1,0,1,crooked,9.0,10.5,6.3,5.4,4.7,5.8,2.8,3.5,9.2,11.9,5.6,7.3,26.2,34.5,29.3,38.1,59.8,74.6,0.5,0.63,0.25,0.38,30.7,0.0,0.0,none,none,Over,Over,0.0,0.0,6.75,1.88,50.2,17.0,9.0,4.77,0.2,59.84,62.85,0.63,0.38,30.74,10.25,0.32,0.25,0.13,47.74,0.08,0.34,0.08,4.53,1.37,51.2,15.0,7.0,4.9,0.2,56.65,74.63,0.25,0.5,58.57,14.38,0.4,0.25,0.13,42.81,0.15,0.22,0.0,110.0,93.0
2026-05-23,824760,Twins @ Red Sox,6.0,5.0,7.5,4.4,0,1,1,1,crooked,7.5,7.2,4.2,4.4,3.7,3.5,2.2,2.0,8.0,8.0,4.9,4.8,23.1,23.3,25.7,25.2,60.8,75.1,0.25,0.38,0.63,0.38,15.0,0.0,1.0,none,none,Pass,Pass,1.0,1.0,2.77,1.17,52.0,19.0,5.0,5.88,0.13,51.02,75.07,0.25,0.25,45.8,12.0,0.38,0.5,0.0,37.05,0.08,0.35,0.0,3.38,1.2,26.2,14.0,4.0,1.0,1.0,60.84,69.56,0.38,0.25,15.01,12.38,0.27,0.63,0.25,50.31,0.17,0.3,0.05,104.0,84.0
2026-05-23,823222,White Sox @ Giants,13.0,12.0,8.0,4.7,1,1,1,1,crooked,8.0,9.8,5.8,4.7,6.0,3.8,3.7,2.1,11.9,7.7,7.3,4.6,34.5,22.5,38.5,24.2,70.6,76.5,0.38,0.88,0.25,0.25,38.0,1.0,0.0,none,none,Over,Over,1.0,0.0,1.48,1.27,24.1,10.0,0.0,1.0,1.0,66.16,72.73,0.63,0.25,57.22,12.13,0.45,0.25,0.0,58.23,0.5,0.4,0.15,5.3,1.48,52.2,19.0,8.0,5.33,0.33,70.64,76.5,0.88,0.38,38.02,11.63,0.34,0.13,0.13,54.16,0.38,0.42,0.04,94.0,78.0
2026-05-24,824676,Astros @ Cubs,13.0,10.0,9.0,5.0,1,1,1,1,crooked,9.0,6.3,3.5,5.0,4.0,2.3,2.4,1.1,8.4,5.2,5.2,2.7,24.2,15.2,27.0,14.5,65.0,73.2,0.5,0.5,0.63,0.25,10.6,0.0,0.0,none,none,Under,Under,0.0,0.0,4.06,1.19,37.2,16.0,2.0,5.89,0.0,46.98,60.49,0.38,0.0,21.11,8.88,0.27,0.63,0.0,39.65,0.31,0.23,0.09,3.5,1.02,61.2,16.0,9.0,5.87,0.0,65.04,73.22,0.5,0.5,10.59,11.88,0.29,0.25,0.0,40.16,0.17,0.16,0.18,100.0,100.0
2026-05-24,823297,Athletics @ Padres,7.0,4.0,7.5,4.4,0,0,1,1,normal,7.5,5.6,3.3,4.4,2.6,3.0,1.6,1.7,5.2,7.5,3.7,4.3,15.1,21.9,19.4,22.8,65.6,76.4,0.63,0.5,0.63,0.38,27.5,0.0,0.0,none,none,Under,Under,0.0,0.0,2.41,1.18,18.2,9.0,1.0,4.6,0.0,65.62,76.43,0.5,0.63,27.5,13.25,0.3,0.5,0.0,40.35,0.23,0.33,0.05,2.31,1.06,58.1,24.0,4.0,5.83,0.0,52.94,65.16,0.13,0.38,46.71,10.0,0.39,0.63,0.13,41.32,0.08,0.29,0.07,94.0,108.0
2026-05-24,823786,Dodgers @ Brewers,6.0,6.0,6.5,3.7,0,1,1,1,crooked,6.5,8.5,4.8,3.7,5.1,3.4,2.8,2.0,11.2,7.4,6.4,4.7,32.4,21.7,33.9,24.7,53.2,75.8,0.38,0.25,0.38,0.25,44.5,0.0,0.0,none,none,Over,Over,0.0,0.0,3.3,0.97,60.0,12.0,9.0,6.33,0.0,53.2,75.77,0.25,0.38,45.31,14.38,0.45,0.38,0.0,44.63,0.23,0.29,0.0,5.28,1.51,44.1,26.0,9.0,4.76,0.14,43.74,66.3,0.25,0.13,44.51,12.63,0.36,0.38,0.13,44.43,0.17,0.25,0.06,94.0,106.0
2026-05-24,823459,Guardians @ Phillies,4.0,1.0,4.0,2.3,0,0,0,1,dead,4.0,6.5,3.8,2.3,4.2,2.3,2.6,1.2,9.7,5.4,5.9,3.0,27.8,15.8,30.9,15.8,51.2,69.8,0.38,0.25,0.5,0.13,48.8,0.0,1.0,none,none,Over,Over,1.0,1.0,2.24,1.04,64.1,19.0,6.0,5.87,0.0,42.28,60.68,0.13,0.13,52.93,11.38,0.4,0.5,0.0,35.43,0.08,0.34,0.07,5.44,1.47,49.2,16.0,7.0,4.83,0.13,51.15,69.79,0.25,0.38,48.79,11.25,0.4,0.5,0.0,43.77,0.08,0.3,0.15,104.0,114.0
2026-05-24,824108,Mariners @ Royals,14.0,5.0,6.5,3.6,1,1,1,1,crooked,6.5,7.0,3.9,3.6,4.5,2.5,2.7,1.2,9.3,5.2,5.6,2.8,26.9,15.2,29.4,14.7,51.8,65.6,0.25,0.38,0.63,0.5,0.6,0.0,1.0,none,none,Pass,Pass,1.0,1.0,3.29,0.97,63.0,12.0,6.0,5.9,0.1,51.81,65.61,0.38,0.13,4.79,9.63,0.27,0.63,0.0,46.28,0.15,0.41,0.08,3.55,1.33,63.1,21.0,3.0,5.87,0.0,51.41,57.35,0.13,0.25,0.62,10.13,0.22,0.5,0.13,52.44,0.25,0.53,0.17,100.0,83.0
2026-05-24,823861,Mets @ Marlins,4.0,0.0,4.0,2.6,0,0,0,1,dead,4.0,5.8,3.7,2.6,2.5,3.3,1.6,2.1,5.3,7.6,3.6,5.0,15.2,22.2,19.0,26.1,63.8,85.5,0.5,0.5,0.38,0.13,61.6,0.0,0.0,none,none,Over,Over,0.0,0.0,3.28,1.38,24.2,14.0,1.0,3.93,0.2,63.48,85.5,0.38,0.5,61.59,11.63,0.46,0.38,0.0,46.76,0.31,0.19,0.08,1.07,1.25,33.2,18.0,1.0,5.2,0.0,63.78,78.96,0.5,0.38,62.06,11.88,0.41,0.25,0.13,45.83,0.38,0.14,0.08,100.0,87.0
2026-05-24,824921,Nationals @ Braves,3.0,1.0,8.0,4.6,0,0,1,1,dead,8.0,8.1,4.7,4.6,4.1,4.0,2.4,2.3,8.0,9.1,5.1,5.3,23.2,26.4,26.7,27.9,64.4,71.8,0.5,0.38,0.38,0.25,55.2,0.0,0.0,none,none,Pass,Pass,0.0,0.0,4.02,1.18,56.0,18.0,10.0,5.6,0.0,64.41,71.78,0.38,0.5,55.23,13.63,0.43,0.38,0.13,56.54,0.38,0.36,0.14,2.85,1.0,41.0,13.0,5.0,5.28,0.0,49.08,59.92,0.25,0.13,58.95,11.63,0.44,0.38,0.0,38.03,0.08,0.17,0.13,100.0,95.0
2026-05-24,822813,Pirates @ Blue Jays,5.0,3.0,5.5,3.2,0,0,1,1,dead,5.5,5.4,3.1,3.2,3.0,2.4,1.8,1.3,6.4,5.5,4.0,3.2,18.6,15.9,20.9,16.9,71.5,66.3,0.38,0.75,0.5,0.25,33.4,0.0,0.0,none,none,Pass,Pass,0.0,0.0,3.64,1.07,64.1,19.0,4.0,5.83,0.1,71.48,66.26,0.75,0.38,33.44,11.88,0.34,0.5,0.0,58.94,0.58,0.33,0.17,3.05,1.21,62.0,26.0,5.0,5.73,0.1,44.96,65.22,0.25,0.0,35.09,10.75,0.36,0.5,0.0,50.26,0.23,0.29,0.08,102.0,110.0
2026-05-24,824028,Rangers @ Angels,3.0,2.0,8.0,4.4,0,0,1,1,dead,8.0,7.4,4.1,4.4,4.1,3.3,2.2,1.9,8.6,7.2,4.8,4.3,24.8,21.0,25.0,22.7,69.5,77.9,0.5,0.5,0.38,0.25,32.9,1.0,0.0,none,none,Pass,Pass,1.0,0.0,4.78,1.33,49.0,24.0,6.0,4.9,0.2,54.9,70.78,0.13,0.5,32.9,13.88,0.34,0.25,0.0,51.4,0.25,0.29,0.06,5.07,1.29,55.0,19.0,4.0,5.5,0.1,69.51,77.94,0.5,0.38,49.05,10.75,0.37,0.38,0.0,53.64,0.46,0.36,0.11,100.0,100.0
2026-05-24,823544,Rays @ Yankees,2.0,0.0,3.0,1.9,0,0,1,1,dead,3.0,6.6,4.2,1.9,4.0,2.6,2.6,1.6,8.7,6.4,5.7,4.0,25.3,18.7,29.7,21.3,63.8,80.9,0.14,0.57,0.57,0.14,7.4,0.0,1.0,none,none,Over,Over,1.0,1.0,2.83,1.0,54.0,10.0,7.0,5.33,0.11,46.75,80.92,0.29,0.14,69.19,14.71,0.46,0.57,0.0,47.91,0.27,0.26,0.16,3.14,1.12,57.1,16.0,8.0,5.59,0.11,63.8,67.35,0.57,0.14,7.42,12.0,0.29,0.57,0.29,51.81,0.25,0.41,0.11,100.0,100.0
2026-05-24,825081,Rockies @ Diamondbacks,10.0,7.0,8.5,5.0,1,1,1,1,crooked,8.5,9.6,5.6,5.0,4.1,5.5,2.4,3.2,8.2,11.7,5.1,6.8,23.5,33.8,26.8,35.4,58.5,72.9,0.5,0.63,0.25,0.38,28.3,0.0,0.0,none,none,Over,Over,0.0,0.0,4.08,1.41,39.2,17.0,6.0,4.96,0.13,58.5,58.66,0.63,0.38,28.32,11.13,0.33,0.25,0.13,47.02,0.08,0.33,0.08,5.19,1.19,52.0,16.0,11.0,5.2,0.1,54.94,72.86,0.25,0.5,47.86,13.88,0.38,0.25,0.13,42.4,0.15,0.24,0.03,110.0,93.0
2026-05-24,824840,Tigers @ Orioles,5.0,5.0,8.0,4.5,0,1,1,1,crooked,8.0,8.3,4.7,4.5,4.5,3.8,2.6,2.1,9.2,8.3,5.4,4.8,26.5,24.1,28.0,25.4,64.1,70.7,0.63,0.38,0.5,0.63,0.0,0.0,0.0,none,none,Pass,Pass,0.0,0.0,4.28,1.33,61.0,23.0,6.0,5.5,0.1,56.85,58.07,0.25,0.63,0.0,9.75,0.22,0.5,0.0,64.32,0.33,0.33,0.13,6.87,1.66,38.0,15.0,5.0,4.75,0.25,64.12,70.65,0.38,0.38,32.67,12.75,0.35,0.38,0.25,50.47,0.36,0.32,0.08,106.0,112.0
2026-05-24,824839,Tigers @ Orioles,8.0,2.0,8.0,4.6,0,0,0,1,dead,8.0,9.0,5.2,4.6,4.1,4.9,2.4,2.8,8.1,10.9,4.9,6.4,23.1,31.8,25.8,33.4,64.1,70.7,0.63,0.38,0.5,0.63,0.0,0.0,0.0,none,none,Pass,Pass,0.0,0.0,4.28,1.33,61.0,23.0,6.0,5.5,0.1,56.85,58.07,0.25,0.63,0.0,9.75,0.22,0.5,0.0,64.32,0.33,0.33,0.13,3.47,1.4,36.1,16.0,5.0,4.94,0.17,64.12,70.65,0.38,0.38,32.67,12.75,0.35,0.38,0.25,50.47,0.36,0.32,0.08,106.0,112.0
2026-05-24,824759,Twins @ Red Sox,11.0,7.0,10.5,6.2,1,1,1,1,crooked,10.5,6.3,3.7,6.2,3.5,2.8,2.1,1.6,8.1,6.0,5.1,3.7,23.4,17.5,26.9,19.3,57.0,69.4,0.38,0.25,0.5,0.38,15.0,0.0,1.0,none,none,Under,Under,1.0,1.0,3.98,1.1,61.0,17.0,9.0,5.7,0.0,48.28,69.37,0.25,0.25,33.28,11.75,0.33,0.5,0.0,37.01,0.08,0.38,0.0,3.27,1.2,44.0,11.0,4.0,5.0,0.13,57.04,64.58,0.25,0.38,15.03,12.5,0.28,0.5,0.25,50.5,0.17,0.3,0.05,104.0,84.0
2026-05-24,823220,White Sox @ Giants,13.0,12.0,8.0,4.6,1,1,1,1,crooked,8.0,9.8,5.6,4.6,4.8,5.0,2.8,2.8,9.7,10.5,6.0,6.1,28.0,30.8,31.6,32.3,74.0,80.7,0.25,0.88,0.25,0.25,46.0,1.0,0.0,none,none,Over,Over,1.0,0.0,4.93,1.3,34.2,21.0,3.0,4.95,0.14,73.98,80.69,0.75,0.25,45.98,11.88,0.43,0.25,0.13,61.2,0.5,0.45,0.23,4.28,1.32,54.2,22.0,12.0,5.47,0.0,67.3,79.04,0.88,0.25,46.65,13.0,0.38,0.13,0.13,49.06,0.31,0.33,0.05,94.0,78.0
2026-05-25,822899,Astros @ Rangers,9.0,4.0,8.0,4.5,1,0,1,1,normal,8.0,8.6,4.8,4.5,3.8,4.8,2.2,2.6,7.3,11.3,4.6,6.2,21.4,33.3,24.3,33.0,55.1,76.3,0.5,0.5,0.5,0.25,39.2,0.0,0.0,none,none,Over,Pass,0.0,0.0,8.31,1.79,17.1,14.0,4.0,3.47,0.4,53.19,69.96,0.5,0.13,40.63,9.25,0.34,0.5,0.0,40.44,0.31,0.24,0.09,3.6,1.38,45.0,20.0,4.0,4.67,0.25,55.08,76.26,0.13,0.5,39.2,13.63,0.36,0.25,0.0,51.06,0.25,0.28,0.06,85.0,88.0
2026-05-25,823784,Cardinals @ Brewers,6.0,3.0,7.5,4.2,0,0,1,1,dead,7.5,9.3,5.2,4.2,4.1,5.2,2.3,2.9,7.3,11.1,4.6,6.3,21.3,32.3,24.4,33.2,50.2,71.1,0.13,0.43,0.43,0.43,25.8,0.0,0.0,none,none,Over,Over,0.0,0.0,4.76,1.57,56.2,22.0,10.0,5.17,0.1,50.19,57.87,0.43,0.0,25.76,12.14,0.34,0.43,0.0,47.38,0.27,0.43,0.12,1.83,0.83,64.0,19.0,4.0,5.7,0.0,46.49,71.13,0.38,0.13,44.86,12.5,0.34,0.25,0.0,47.62,0.17,0.3,0.1,94.0,106.0
